sample	strain	publication	study	study_id	year	location	lat	lon	copynumber	more_than1	presence	period
DrosEu-33	TR_Ank_Yes_1_2019-08-14	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Turkey	40.231444	32.260328	7.65576430284344	7924	present	2017-2019
SRR23103760	mel128	https://doi.org/10.1126/sciadv.adh3425	PRJNA924971	Chen2024	2017	Yanji, Jilin	42	129	7.607466826538769	7980	present	2017-2019
SRR23103948	mel16	https://doi.org/10.1126/sciadv.adh3425	PRJNA924860	Chen2024	2017	Dandong, Liaoning	40	124	7.334604316546763	7639	present	2017-2019
Girardot	CO_Tol_Gir_1_2019-04-04	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Colombia	4.489722	-75.31167	7.201306726047734	7868	present	2017-2019
SRR23103880	mel110	https://doi.org/10.1126/sciadv.adh3425	PRJNA924954	Chen2024	2017	Jinan, Shandong	36	117	6.503511476533059	7800	present	2017-2019
DrosEu-31	TR_Ank_Yes_1_2019-06-26	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Turkey	40.231444	32.260328	5.629558524608885	7645	present	2017-2019
DrosEu-118	GR_Kri_Her_1_2020-07-13	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Greece	35.32188344	25.11104465	5.378818088386434	7870	present	2020-2021
DrosEu-30	TR_Ank_Yes_1_2018-10-12	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Turkey	40.231444	32.260328	5.228012789768186	7825	present	2017-2019
DrosEu-251	US_Vir_Cha_1_2020-09-30	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	USA	37.979	-78.4897	4.380646111682083	7629	present	2020-2021
DrosEu-17	ES_Ciu_Tom_1_2021-10-07	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Spain	39.1689	-2.9849	4.316404248030147	7695	present	2020-2021
SRR23103917	mel212	https://doi.org/10.1126/sciadv.adh3425	PRJNA925053	Chen2024	2017	Lhasa, Tibet	29	91	4.277859084161243	7962	present	2017-2019
SRR23103819	mel58	https://doi.org/10.1126/sciadv.adh3425	PRJNA924902	Chen2024	2017	Mohe, Heilongjiang	53	122	4.1890778805527	7963	present	2017-2019
DrosEu-240	US_Vir_Cha_1_2019-09-06	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	USA	37.979	-78.4897	4.100811465113623	7781	present	2017-2019
DrosEu-27	TR_Ank_Yes_1_2018-07-28	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Turkey	40.231444	32.260328	3.9558606828822658	7589	present	2017-2019
DrosEu-245	US_Vir_Cha_1_2020-07-03	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	USA	37.979	-78.4897	3.8978937992463174	7945	present	2020-2021
DrosEu-171	DE_Bad_Wal_1_2019-10-02	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Germany	47.622135	8.217058	3.239899623158616	7618	present	2017-2019
DrosEu-25	TR_Ank_Yes_1_2018-05-19	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Turkey	40.231444	32.260328	3.176929199497545	7422	present	2017-2019
SRR189038	CK1_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Congo	1	25	3.084077081192189	7093	present	2010-2017
DrosEu-8	ES_Tol_Vil_1_2018-10-07	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Spain	39.87	-3.32	2.9933260248943703	7414	present	2017-2019
SRR23103939	mel195	https://doi.org/10.1126/sciadv.adh3425	PRJNA925036	Chen2024	2017	Rizhao, Shandong	35	118	2.989812949640288	7619	present	2017-2019
DrosEu-2	ES_Gra_Cor_1_2017-07-28	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	Spain	37.66177326	-2.796235346	2.9227678428685624	7014	present	2017-2019
DrosEu-86	UA_Ode_Ode_1_2021-11-11	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	46.391972	30.68125	2.9188217426059153	7345	present	2020-2021
DrosEu-57	FR_Ain_Ver_1_2017-09-21	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	France	45.9	4.91	2.7982203951124816	7789	present	2017-2019
USP_Sao_Paulo	BR_Sao_USP_1_2019-09-15	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Brazil	-23.99472	-46.2525	2.7172838871759737	7674	present	2017-2019
SRR23103830	mel49	https://doi.org/10.1126/sciadv.adh3425	PRJNA924893	Chen2024	2017	Changchun, Jilin	43	125	2.3691881923033	7844	present	2017-2019
DrosEu-62	RS_Sre_Sta_1_2021-06-22	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Serbia	44.9863	20.1667	2.3085701724334817	7337	present	2020-2021
DrosEu-64	UA_Che_Var_1_2021-09-26	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	50.492583	32.714147	2.0533375585246088	7417	present	2020-2021
DrosEu-82	UA_Pol_Pyr_1_2021-07-29	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	50.3265	32.493228	1.9198607970766244	7139	present	2020-2021
DrosEu-239	US_Vir_Cha_1_2019-08-14	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	USA	37.979	-78.4897	1.855740207833733	7011	present	2017-2019
DrosEu-29	TR_Ank_Yes_1_2018-09-27	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Turkey	40.231444	32.260328	1.7301983556012333	6905	absent	2017-2019
SRR23103940	mel194	https://doi.org/10.1126/sciadv.adh3425	PRJNA925035	Chen2024	2017	Rizhao, Shandong	35	118	1.7196700924974306	5983	absent	2017-2019
DrosEu-28	TR_Ank_Yes_1_2018-08-27	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Turkey	40.231444	32.260328	1.6420747973050132	6629	absent	2017-2019
SRR23103779	mel122	https://doi.org/10.1126/sciadv.adh3425	PRJNA924965	Chen2024	2017	Jinan, Shandong	36	117	1.5607387233070686	6791	absent	2017-2019
DrosEu-69	UA_Kie_Kho_1_2021-08-09	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	50.58886	30.57138	1.4736429142400365	5853	absent	2020-2021
DrosEu-65	UA_Che_Uma_1_2021-09-19	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	48.769055	30.173227	1.38450188420692	5950	absent	2020-2021
SRR23103890	mel79	https://doi.org/10.1126/sciadv.adh3425	PRJNA924923	Chen2024	2017	Harbin, Heilongjiang	45	126	1.3691169350234098	5799	absent	2017-2019
SRR098323	UG17-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Uganda	1	33	1.3160157588215142	677	absent	<2010
SRR23103923	mel207	https://doi.org/10.1126/sciadv.adh3425	PRJNA925048	Chen2024	2017	Lhasa, Tibet	29	91	1.288171291538198	6289	absent	2017-2019
DrosEu-48	DE_Bay_Wue_1_2021-10-18	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Germany	49.780082	9.974293	1.2828630809638004	5525	absent	2020-2021
SRR1525770	PA_li_10_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2010	USA	40	-75	1.270095352289597	1965	absent	2010-2017
DrosEu-78	DE_Bra_Ber_1_2021-07-24	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Germany	52.69907	13.07596	1.2691540481900194	4935	absent	2020-2021
DrosEu-10	ES_Mad_Yep_1_2018-11-06	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Spain	40.06	-3.53	1.261245061093982	5021	absent	2017-2019
DrosEu-14	ES_Ciu_Man_1_2020-08-10	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Spain	38.97072081	-3.407212046	1.2548544021925316	5974	absent	2020-2021
SRR23103833	mel46	https://doi.org/10.1126/sciadv.adh3425	PRJNA924890	Chen2024	2017	Hailar, Inner Mongolia	49	119	1.2346643827794908	4501	absent	2017-2019
DrosEu-146	GR_Kri_Ira_1_2018-10-11	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Greece	35.223236	25.108428	1.1992650451067717	5033	absent	2017-2019
DrosEu-214	GR_Kri_Ira_1_2017-11-06	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	Greece	35.223236	25.108428	1.1891952723535455	4277	absent	2017-2019
SRR23103795	mel104	https://doi.org/10.1126/sciadv.adh3425	PRJNA924948	Chen2024	2017	Baotou, Inner Mongolia	40	110	1.1875653762704124	5168	absent	2017-2019
DrosEu-16	ES_Ciu_Tom_1_2020-09-30	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Spain	39.1567614	-3.0497293	1.187127555098778	4941	absent	2020-2021
DrosEu-9	ES_Zam_Ose_1_2018-09-20	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Spain	41.53	-5.68	1.1865495032545392	4852	absent	2017-2019
DrosEu-73	IT_Tre_San_1_2021-10-01	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Italy	46.18739	11.13637	1.1831370332305584	4766	absent	2020-2021
DrosEu-18	ES_Ler_Gim_1_2021-08-31	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Spain	41.651944	0.388889	1.166545049674546	4357	absent	2020-2021
SRR23103860	mel26	https://doi.org/10.1126/sciadv.adh3425	PRJNA924870	Chen2024	2017	Suzhou, Jiangsu	31	120	1.153281945871874	5528	absent	2017-2019
DrosEu-80	UA_Kie_Vys_1_2021-08-01	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	50.383359	30.367921	1.1513683910014845	4555	absent	2020-2021
