sample	strain	publication	study	study_id	year	location	lat	lon
SRR14297434	RI78-12	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14297441	RI78-1A	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14297770	RI78-6	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14297794	RI78-13	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14297796	RI78-11	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14297813	RI78-8	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14297954	RI78-14	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14298002	RI78-5	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14298028	RI78-1B	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14298055	RI78-7	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14298091	RI78-9	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14297456	RI79-7	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14298093	RI79-3	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14298105	RI79-1	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306822	RI79-20	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306823	RI79-10	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306824	RI79-9	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306825	RI79-19	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306826	RI79-17	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306827	RI79-16	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306828	RI79-15	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306829	RI79-14	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306830	RI79-13	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306831	RI79-12	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306842	RI79-11	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1979	Providence, USA	42	-71
SRR14306821	RI80-2	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1980	Providence, USA	42	-71
SRR14306841	RI80-15	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1980	Providence, USA	42	-71
SRR14306843	RI80-13	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1980	Providence, USA	42	-71
SRR14306844	RI80-11	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1980	Providence, USA	42	-71
SRR14306845	RI80-9	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1980	Providence, USA	42	-71
SRR14306846	RI80-8	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1980	Providence, USA	42	-71
SRR14306847	RI80-7	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1980	Providence, USA	42	-71
SRR14306848	RI80-6	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1980	Providence, USA	42	-71
SRR14306849	RI80-5	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1980	Providence, USA	42	-71
SRR14306850	RI80-4	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1980	Providence, USA	42	-71
SRR14306832	RI83-9	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1983	Providence, USA	42	-71
SRR14306833	RI83-8	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1983	Providence, USA	42	-71
SRR14306834	RI83-7	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1983	Providence, USA	42	-71
SRR14306835	RI83-6	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1983	Providence, USA	42	-71
SRR14306836	RI83-5	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1983	Providence, USA	42	-71
SRR14306837	RI83-4	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1983	Providence, USA	42	-71
SRR14306838	RI83-3	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1983	Providence, USA	42	-71
SRR14306839	RI83-2	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1983	Providence, USA	42	-71
SRR14306840	RI83-1	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1983	Providence, USA	42	-71
SRR189408	ZS11_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	1990	Zimbabwe	-18	28
SRR189409	ZS37_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	1990	Zimbabwe	-18	28
SRR900425	ZS5_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	1990	Zimbabwe	-18	28
SRR189411	ZS56_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	1990	Zimbabwe	-18	28
SRR1663598	ZH23	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663599	ZH26	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663600	ZH33	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663601	ZH42	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663602	ZS10	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663603	ZW09	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663604	ZW139	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663605	ZW140	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663606	ZW142	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663607	ZW144	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663608	ZW155	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663609	ZW177	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663610	ZW184	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1663611	ZW185	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR1769729	ZW155	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1993	Zimbabwe	-19	29
SRR189420	ZK131_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	1994	Zimbabwe	-17	29
SRR189421	ZK186_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	1994	Zimbabwe	-17	29
SRR189422	ZK84_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	1994	Zimbabwe	-17	29
SRR1662283	B04	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663528	B05	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663529	B10	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663530	B11	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663531	B12	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663532	B14	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663533	B23	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663534	B28	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663535	B38	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663536	B42	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663537	B43	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663538	B51	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663539	B52	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663540	B54	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR1663541	B59	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	1995	Beijing, China	40	116
SRR189100	GA125_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2002	Gabon	-2	14
SRR189101	GA129_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2002	Gabon	-2	14
SRR189102	GA130_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2002	Gabon	-2	14
SRR189104	GA132_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2002	Gabon	-2	14
SRR189105	GA141_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2002	Gabon	-2	14
SRR189106	GA145_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2002	Gabon	-2	14
SRR189107	GA160_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2002	Gabon	-2	14
SRR218317	GA185_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2002	Gabon	-2	14
SRR097730	GA187_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2002	Gabon	-2	14
SRR189109	GA191_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2002	Gabon	-2	14
SRR1663561	N01	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663562	N02	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663563	N03	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663564	N04	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663565	N07	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663566	N10	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663567	N11	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663568	N13	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663569	N14	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663570	N15	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663571	N16	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663572	N17	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663573	N18	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663574	N19	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663575	N22	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663576	N23	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663577	N25	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663578	N29	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663579	N30	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Netherlands	52	5
SRR1663580	T01	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663581	T04	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663582	T05	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663583	T07	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663584	T09	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663585	T10 female	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663586	T14A	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663587	T22A	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663588	T23	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663589	T24	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663590	T25A	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663591	T29A	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663592	T30	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663593	T35	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663594	T36B	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663595	T39	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663596	T43A	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1663597	T45B	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2003	Tasmania, Australia	-43	147
SRR1525697	NC_ra_03_n	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2003	USA	36	-79
SRR1663542	I01	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663543	I02	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663544	I03	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663545	I04	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663546	I06	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663547	I07	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663548	I13	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663549	I16	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663550	I17	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663551	I22	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663552	I23	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663553	I24	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663554	I26	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663555	I29	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663556	I31	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663557	I33	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663558	I34	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663559	I35	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR1663560	I38	https://doi.org/10.1534/g3.114.015883	PRJNA268111	Grenier2015	2004	Ithaca, USA	42	-76
SRR189041	CO1_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR098916	CO10b-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR189044	CO10N_2-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR189045	CO13N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR189046	CO14_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR189047	CO15N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR189048	CO16_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR105048	CO16-3_2	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR189049	CO2_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR189050	CO4N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR098915	CO8b-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR189053	CO8N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR306633	CO9N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10
SRR189263	NG10N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Nigeria	12	13
SRR189264	NG1N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Nigeria	12	13
SRR189414	NG3N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Nigeria	12	13
SRR189266	NG6N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Nigeria	12	13
SRR189267	NG7_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Nigeria	12	13
