sampleId	sampleId_orig	locality	lat	long	continent	country	city	province	min_day	max_day	min_month	max_month	year	jday	exactDate	sr_season	bio_rep	tech_rep	exp_rep	loc_rep	fruit_type	subsample	nFlies	fly_type	library_type	sampling_strategy	seq_platform	set	collector	SRA_Accession	reference	SequencingId	low_qual	DIN	DNA_result	DNA_Status	library_result	totalreads	SimCont.Norm	pcrdup	pNpS	private	Cov	Miss	Recommendation	collapsedSamples	N	cluster1.0	cluster2.0_k4	cluster2.0_k5	cluster2.0_k8	fruit_type_curated
AU_Que_Inn_10_2014-02-15	AU_NQ2-20C-100_NA_Feb_2014	AU_Que_Inn	-17.51	145.98	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	20C_100	South Innisfail	NA	10	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449061	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.017255829	0.509118	0.323029471	3.704322141	8.713269717	0.06430843	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_11_2014-02-15	AU_NQ1-30C-005_NA_Feb_2014	AU_Que_Inn	-17.48	146	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	30C_005	North Innisfail	NA	11	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449010	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.305308892	0.509795	0.372433603	3.568670978	6.010359693	0.30709582	High Contamination	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_12_2014-02-15	AU_NQ2-30C-005_NA_Feb_2014	AU_Que_Inn	-17.51	145.98	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	30C_005	South Innisfail	NA	12	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449058	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.017001993	0.50542	0.341349722	3.576226137	7.820010807	0.105424205	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_13_2014-02-15	AU_NQ1-30C-025_NA_Feb_2014	AU_Que_Inn	-17.48	146	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	30C_025	North Innisfail	NA	13	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449034	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.067692793	0.510304	0.339333897	3.587486465	8.762269714	0.076231132	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_14_2014-02-15	AU_NQ2-30C-025_NA_Feb_2014	AU_Que_Inn	-17.51	145.98	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	30C_025	South Innisfail	NA	14	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449035	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016746399	0.501782	0.325844175	3.554125582	8.913565912	0.072141879	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_15_2014-02-15	AU_NQ1-30C-075_NA_Feb_2014	AU_Que_Inn	-17.48	146	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	30C_075	North Innisfail	NA	15	125	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448958	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.037381765	0.516132	0.332340303	3.717171027	9.375059043	0.05884671	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_16_2014-02-15	AU_NQ2-30C-075_NA_Feb_2014	AU_Que_Inn	-17.51	145.98	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	30C_075	South Innisfail	NA	16	125	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448959	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016886101	0.505353	0.333386321	3.644044493	8.310847776	0.083110453	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_17_2014-02-15	AU_NQ1-30C-095_NA_Feb_2014	AU_Que_Inn	-17.48	146	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	30C_095	North Innisfail	NA	17	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448909	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.071146506	0.522117	0.334965924	3.673757937	9.003513932	0.066091473	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_18_2014-02-15	AU_NQ2-30C-095_NA_Feb_2014	AU_Que_Inn	-17.51	145.98	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	30C_095	South Innisfail	NA	18	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448910	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016505748	0.509117	0.337311385	3.456214155	7.842613603	0.106649622	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_19_2014-02-15	AU_NQ1-30C-100_NA_Feb_2014	AU_Que_Inn	-17.48	146	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	30C_100	North Innisfail	NA	19	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449051	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016973676	0.504191	0.318458082	3.832891945	12.9664107	0.028745615	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_1_2014-02-15	AU_NQ1-20C-005_NA_Feb_2014	AU_Que_Inn	-17.48	146	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	20C_005	North Innisfail	NA	1	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448952	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.287292386	0.600903	0.356003359	3.606918526	6.307482639	0.249689521	High Contamination	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_1_NA-MM-DD	AU_AUInni_NA_NA_NA	AU_Que_Inn	-17.521	146.026	Oceania	Australia	Innisfail	Queensland	NA	NA	NA	NA	NA	NA	NA	NA	BR-1	TR-1	NA	NA	NA	1	22	isofemale	pooled	NA	Illumina HiSeq2000	dest_plus	Hoffman	SRR2587089	https://doi.org/10.1111/mec.13455	NA	NA	NA	NA	NA	NA	NA	0.013564942	0.190454	0.319025156	3.596047008	15.92806219	0.018461332	Pass	NA	NA	4	4	3	4	NA
AU_Que_Inn_20_2014-02-15	AU_NQ2-30C-100_NA_Feb_2014	AU_Que_Inn	-17.51	145.98	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	30C_100	South Innisfail	NA	20	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449050	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016916703	0.500521	0.319073759	3.644930708	8.816635172	0.059501884	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_2_2014-02-15	AU_NQ2-20C-005_NA_Feb_2014	AU_Que_Inn	-17.51	145.98	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	20C_005	South Innisfail	NA	2	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448953	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.017104619	0.513415	0.333576917	3.684037037	8.28282848	0.080023373	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_3_2014-02-15	AU_NQ1-20C-025_NA_Feb_2014	AU_Que_Inn	-17.48	146	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	20C_025	North Innisfail	NA	3	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449038	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.090872306	0.504502	0.326675169	3.555819683	8.409908012	0.089807782	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_4_2014-02-15	AU_NQ2-20C-025_NA_Feb_2014	AU_Que_Inn	-17.51	145.98	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	20C_025	South Innisfail	NA	4	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449039	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016938083	0.502239	0.33031172	3.544935766	8.855038118	0.065157244	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_5_2014-02-15	AU_NQ1-20C-075_NA_Feb_2014	AU_Que_Inn	-17.48	146	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	20C_075	North Innisfail	NA	5	125	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448994	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.023976167	0.510515	0.333668474	3.456062224	7.986382703	0.098819572	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_6_2014-02-15	AU_NQ2-20C-075_NA_Feb_2014	AU_Que_Inn	-17.51	145.98	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	20C_075	South Innisfail	NA	6	125	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448995	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016931592	0.526963	0.329077912	3.665205628	9.406252586	0.055931431	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_7_2014-02-15	AU_NQ1-20C-095_NA_Feb_2014	AU_Que_Inn	-17.48	146	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	20C_095	North Innisfail	NA	7	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448966	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016947303	0.531565	0.331380566	3.57955496	8.547371227	0.080565953	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_8_2014-02-15	AU_NQ2-20C-095_NA_Feb_2014	AU_Que_Inn	-17.51	145.98	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	20C_095	South Innisfail	NA	8	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448967	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.01668485	0.513895	0.332898996	3.555215405	8.592703177	0.075134808	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Inn_9_2014-02-15	AU_NQ1-20C-100_NA_Feb_2014	AU_Que_Inn	-17.48	146	Oceania	Australia	Innisfail	Queensland	1	28	2	2	2014	46	FALSE	NA	BR-1	TR-1	20C_100	North Innisfail	NA	9	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449062	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.07862182	0.502104	0.323041467	3.738146089	9.498354217	0.05032897	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Isl_0_2014-03-15	NA	AU_Que_Isl	-25.17	149.93	Oceania	Australia	Isla Gorge	Queensland	1	30	3	3	2014	74	FALSE	NA	NA	NA	NA	NA	NA	0	634	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449032;SRR8449006;SRR8448981;SRR8448992;SRR8448962;SRR8448922;SRR8449014;SRR8448975;SRR8448950;SRR8448913	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016516902	0.518364	NA	NA	69.14985473	0.052349365	Pass	AU_Que_Isl_10_2014-03-15;AU_Que_Isl_1_2014-03-15;AU_Que_Isl_2_2014-03-15;AU_Que_Isl_3_2014-03-15;AU_Que_Isl_4_2014-03-15;AU_Que_Isl_5_2014-03-15;AU_Que_Isl_6_2014-03-15;AU_Que_Isl_7_2014-03-15;AU_Que_Isl_8_2014-03-15;AU_Que_Isl_9_2014-03-15	10	4	4	3	4	NA
AU_Que_Isl_10_2014-03-15	AU_SQ1-30C-100_NA_Mar_2014	AU_Que_Isl	-25.17	149.93	Oceania	Australia	Isla Gorge	Queensland	1	30	3	3	2014	74	FALSE	NA	BR-1	TR-1	30C_100	NA	NA	10	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449032	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016321103	0.505366	0.329113412	3.448397103	7.781973223	0.09570677	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Isl_1_2014-03-15	AU_SQ1-20C-005_NA_Mar_2014	AU_Que_Isl	-25.17	149.93	Oceania	Australia	Isla Gorge	Queensland	1	30	3	3	2014	74	FALSE	NA	BR-1	TR-1	20C_005	NA	NA	1	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449006	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016526879	0.504546	0.332789189	3.509605705	7.739080983	0.096688559	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Isl_2_2014-03-15	AU_SQ1-20C-025_NA_Mar_2014	AU_Que_Isl	-25.17	149.93	Oceania	Australia	Isla Gorge	Queensland	1	30	3	3	2014	74	FALSE	NA	BR-1	TR-1	20C_025	NA	NA	2	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448981	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016489696	0.503083	0.331419653	3.556905269	9.056625841	0.065931805	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Isl_3_2014-03-15	AU_SQ1-20C-075_NA_Mar_2014	AU_Que_Isl	-25.17	149.93	Oceania	Australia	Isla Gorge	Queensland	1	30	3	3	2014	74	FALSE	NA	BR-1	TR-1	20C_075	NA	NA	3	125	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448992	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016373533	0.50786	0.349820605	3.683947131	7.012067061	0.163303686	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Isl_4_2014-03-15	AU_SQ1-20C-095_NA_Mar_2014	AU_Que_Isl	-25.17	149.93	Oceania	Australia	Isla Gorge	Queensland	1	30	3	3	2014	74	FALSE	NA	BR-1	TR-1	20C_095	NA	NA	4	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448962	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016239792	0.500859	0.353486903	3.646207612	6.775442039	0.183273373	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Isl_5_2014-03-15	AU_SQ1-20C-100_NA_Mar_2014	AU_Que_Isl	-25.17	149.93	Oceania	Australia	Isla Gorge	Queensland	1	30	3	3	2014	74	FALSE	NA	BR-1	TR-1	20C_100	NA	NA	5	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448922	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016632512	0.502367	0.318820711	3.715418323	9.381809049	0.051252036	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Isl_6_2014-03-15	AU_SQ1-30C-005_NA_Mar_2014	AU_Que_Isl	-25.17	149.93	Oceania	Australia	Isla Gorge	Queensland	1	30	3	3	2014	74	FALSE	NA	BR-1	TR-1	30C_005	NA	NA	6	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449014	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016398125	0.508759	0.331422167	4.092860943	14.05534352	0.027768193	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Isl_7_2014-03-15	AU_SQ1-30C-025_NA_Mar_2014	AU_Que_Isl	-25.17	149.93	Oceania	Australia	Isla Gorge	Queensland	1	30	3	3	2014	74	FALSE	NA	BR-1	TR-1	30C_025	NA	NA	7	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448975	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016355015	0.50987	0.357719732	3.453471234	6.474410748	0.226898705	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Isl_8_2014-03-15	AU_SQ1-30C-075_NA_Mar_2014	AU_Que_Isl	-25.17	149.93	Oceania	Australia	Isla Gorge	Queensland	1	30	3	3	2014	74	FALSE	NA	BR-1	TR-1	30C_075	NA	NA	8	125	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448950	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016235638	0.511436	0.326890579	3.781468143	10.95658453	0.038504787	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Isl_9_2014-03-15	AU_SQ1-30C-095_NA_Mar_2014	AU_Que_Isl	-25.17	149.93	Oceania	Australia	Isla Gorge	Queensland	1	30	3	3	2014	74	FALSE	NA	BR-1	TR-1	30C_095	NA	NA	9	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448913	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.01630182	0.525975	0.335353535	3.552181339	8.364671793	0.082824603	Collapse	NA	NA	NA	NA	NA	NA	NA
AU_Que_Que_1_2004-07-01	AU_que1_NA_NA_2004	AU_Que_Que	-16.927537	145.750821	Oceania	Australia	Queensland	Queensland	1	30	1	12	2004	183	FALSE	NA	BR-1	TR-1	NA	NA	NA	1	17	isofemale	pooled	NA	Illumina GA2	dest_plus	Reinhardt et al	SRR1177952	https://doi.org/10.1534/genetics.114.161463	NA	NA	NA	NA	NA	NA	NA	0.013699592	0.164217	0.400534019	3.743509765	10.29193808	0.131356942	Pass	NA	NA	4	4	3	4	NA
AU_Que_Que_2_2004-07-01	AU_que2_NA_NA_2004	AU_Que_Que	-16.927537	145.750821	Oceania	Australia	Queensland	Queensland	1	30	1	12	2004	183	FALSE	NA	BR-1	TR-2	NA	NA	NA	2	17	isofemale	pooled	NA	Illumina GA2	dest_plus	Reinhardt et al	SRR1177951	https://doi.org/10.1534/genetics.114.161463	NA	NA	NA	NA	NA	NA	NA	0.014353937	0.129218	0.408843769	4.011147361	8.123518813	0.18033771	Pass	NA	NA	4	4	3	4	NA
AU_Que_Yep_0_2014-05-16	NA	AU_Que_Yep	-23.13	150.73	Oceania	Australia	Yeppoon	Queensland	1	30	5	5	2014	136	FALSE	NA	NA	NA	NA	NA	NA	0	634	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449033;SRR8449009;SRR8448980;SRR8448993;SRR8448963;SRR8448923;SRR8449013;SRR8448974;SRR8448951;SRR8448914	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016418188	0.520439	NA	NA	76.5563654	0.053180961	Pass	AU_Que_Yep_10_2014-05-16;AU_Que_Yep_1_2014-05-16;AU_Que_Yep_2_2014-05-16;AU_Que_Yep_3_2014-05-16;AU_Que_Yep_4_2014-05-16;AU_Que_Yep_5_2014-05-16;AU_Que_Yep_6_2014-05-16;AU_Que_Yep_7_2014-05-16;AU_Que_Yep_8_2014-05-16;AU_Que_Yep_9_2014-05-16	10	4	4	3	4	NA
